"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1754","Login Test with username: standard_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","2143","Login Test with username: problem_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","564","Login Test with username: performance_glitch_user and password: undefined","chromium","2026-09-10","failed","2026-09-10","","datadriven.spec.ts","",""
"","1736","Login Test with username: error_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","0","Login Test with username: visual_user and password: undefined","chromium","2026-09-10","skipped","2026-09-10","","datadriven.spec.ts","",""
"","2594","Login Test with username: performance_glitch_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","2092","Login Test with username: locked_out_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","0","Login Test with username: error_user and password: undefined","chromium","2026-09-10","skipped","2026-09-10","","datadriven.spec.ts","",""
"","2503","Login Test with username: problem_user and password: undefined","chromium","2026-09-10","failed","2026-09-10","","datadriven.spec.ts","",""
"","2347","Login Test with username: visual_user and password: secret_sauce","chromium","2026-09-10","passed","2026-09-10","","datadriven.spec.ts","",""
"","1","Login Test with username: locked_out_user and password: undefined","chromium","2026-09-10","skipped","2026-09-10","","datadriven.spec.ts","",""
